barrio	municipio	provincia	ads	ads_ratio	percent_turisticas_abril-2017	alojamientos_airbnb_abril-2017	total_viviendas
Centro-Donostia	Donostia / San Sebastián	Gipuzkoa	862	6.20	3.150	438	13905
Ategorrieta-Ulia	Donostia / San Sebastián	Gipuzkoa	98	5.73	3.511	60	1709
Igeldo	Donostia / San Sebastián	Gipuzkoa	28	5.65	6.048	30	496
Casco Viejo-Bilbao	Bilbao	Bizkaia	177	4.25	2.283	95	4162
Casco Viejo/Alde Zaharra-Pamplona	Pamplona-Iruña	Navarra	246	3.75			6564
Gros	Donostia / San Sebastián	Gipuzkoa	367	3.64	1.955	197	10079
Miramon-Zorroaga	Donostia / San Sebastián	Gipuzkoa	21	3.42	2.117	13	614
Antiguo	Donostia / San Sebastián	Gipuzkoa	170	2.26	1.648	124	7522
San Francisco	Bilbao	Bizkaia	58	1.87	1.000	31	3100
Egia	Donostia / San Sebastián	Gipuzkoa	130	1.83	1.041	74	7109
Bilbao la Vieja	Bilbao	Bizkaia	31	1.50	0.873	18	2063
La Ribera	Bilbao	Bizkaia	4	1.44	0.361	1	277
Aiete	Donostia / San Sebastián	Gipuzkoa	81	1.38	0.968	57	5886
Zubieta	Donostia / San Sebastián	Gipuzkoa	2	1.30	1.299	2	154
Abando	Bilbao	Bizkaia	154	1.28	0.564	68	12060
Solokoetxe	Bilbao	Bizkaia	31	1.26	0.729	18	2469
Ensanche/Zabalgunea	Pamplona-Iruña	Navarra	127	1.24			10210
Atxuri	Bilbao	Bizkaia	33	1.22	0.666	18	2703
Iturralde	Bilbao	Bizkaia	32	1.09	0.444	13	2928
Castaños	Bilbao	Bizkaia	29	1.02	0.457	13	2843
Añorga	Donostia / San Sebastián	Gipuzkoa	10	1.02	0.509	5	983
Amara Berri	Donostia / San Sebastián	Gipuzkoa	134	0.94	0.733	105	14325
Ciudad Jardín	Bilbao	Bizkaia	3	0.92	0.613	2	326
Arabella	Bilbao	Bizkaia	7	0.89	0.000	0	788
Ensanche	Vitoria-Gasteiz	Araba/Álava	43	0.88	0.511	25	4896
Milagrosa-Arrosadia	Pamplona-Iruña	Navarra	68	0.83			8214
Ibaeta	Donostia / San Sebastián	Gipuzkoa	33	0.79	0.453	19	4198
Intxaurrondo	Donostia / San Sebastián	Gipuzkoa	51	0.70	0.579	42	7250
Indautxu	Bilbao	Bizkaia	92	0.70	0.320	42	13144
San Pedro de Deustu	Bilbao	Bizkaia	63	0.66	0.295	28	9499
Basurtu	Bilbao	Bizkaia	36	0.57	0.254	16	6305
Etxabakoitz	Pamplona-Iruña	Navarra	14	0.57			2453
Olabeaga	Bilbao	Bizkaia	4	0.56	0.280	2	714
Uribarri	Bilbao	Bizkaia	35	0.56	0.207	13	6289
Ermitagaa-Mendebaldea	Pamplona-Iruña	Navarra	42	0.54			7778
Buztintxuri-Euntzetxiki	Pamplona-Iruña	Navarra	21	0.52			4005
Ametzola	Bilbao	Bizkaia	30	0.52	0.190	11	5797
San Juan/Donibane	Pamplona-Iruña	Navarra	45	0.50			8953
Zona Rural Noroeste	Vitoria-Gasteiz	Araba/Álava	4	0.50	0.628	5	796
Zona Rural Este	Vitoria-Gasteiz	Araba/Álava	6	0.50	0.333	4	1201
Loiola	Donostia / San Sebastián	Gipuzkoa	10	0.46	0.231	5	2162
Chantrea/Txantrea	Pamplona-Iruña	Navarra	41	0.46			8884
Matiko	Bilbao	Bizkaia	12	0.46	0.306	8	2616
Begoña	Bilbao	Bizkaia	10	0.46	0.183	4	2183
Ali-Gobeo	Vitoria-Gasteiz	Araba/Álava	2	0.45	0.223	1	449
Rochapea/Arrotxapea	Pamplona-Iruña	Navarra	49	0.44			11237
Zabala	Bilbao	Bizkaia	10	0.42	0.209	5	2390
Iturrama	Pamplona-Iruña	Navarra	40	0.41			9707
Mendillorri	Pamplona-Iruña	Navarra	20	0.41			4928
San Jorge-Sanduzelai	Pamplona-Iruña	Navarra	20	0.40			5029
Miracruz-Bidebieta	Donostia / San Sebastián	Gipuzkoa	16	0.40	0.273	11	4027
Miribilla	Bilbao	Bizkaia	12	0.38	0.128	4	3121
Azpilagaa	Pamplona-Iruña	Navarra	12	0.37			3267
Desamparados	Vitoria-Gasteiz	Araba/Álava	10	0.32	0.158	5	3163
Casco Viejo-Vitoria	Vitoria-Gasteiz	Araba/Álava	17	0.32	0.186	10	5378
Iralabarri	Bilbao	Bizkaia	17	0.31	0.110	6	5472
Martutene	Donostia / San Sebastián	Gipuzkoa	4	0.31	0.153	2	1306
Altamira	Bilbao	Bizkaia	3	0.30	0.100	1	1003
Mendizorrotza	Vitoria-Gasteiz	Araba/Álava	5	0.28	0.223	4	1794
Coronación	Vitoria-Gasteiz	Araba/Álava	15	0.24	0.130	8	6145
La Peña	Bilbao	Bizkaia	8	0.23	0.176	6	3410
Altza	Donostia / San Sebastián	Gipuzkoa	21	0.23	0.121	11	9057
Zurbaran	Bilbao	Bizkaia	11	0.22	0.102	5	4895
Txagorritxu	Vitoria-Gasteiz	Araba/Álava	7	0.18	0.105	4	3809
Lovaina	Vitoria-Gasteiz	Araba/Álava	7	0.17	0.147	6	4086
Zona Rural Suroeste	Vitoria-Gasteiz	Araba/Álava	1	0.15	0.458	3	655
Larraskitu	Bilbao	Bizkaia	2	0.14	0.000	0	1403
Santutxu	Bilbao	Bizkaia	20	0.13	0.067	10	15001
Arana	Vitoria-Gasteiz	Araba/Álava	2	0.13	0.066	1	1514
Errekaldeberri	Bilbao	Bizkaia	9	0.12	0.013	1	7489
Iturrigorri-Peñascal	Bilbao	Bizkaia	1	0.12	0.000	0	861
Ariznabarra	Vitoria-Gasteiz	Araba/Álava	4	0.12	0.086	3	3471
Txurdinaga	Bilbao	Bizkaia	7	0.11	0.047	3	6358
Gazalbide	Vitoria-Gasteiz	Araba/Álava	1	0.11	0.108	1	930
Salburua	Vitoria-Gasteiz	Araba/Álava	8	0.10	0.074	6	8144
Judimendi	Vitoria-Gasteiz	Araba/Álava	3	0.10	0.098	3	3076
San Cristóbal	Vitoria-Gasteiz	Araba/Álava	3	0.09	0.063	2	3181
El Anglo	Vitoria-Gasteiz	Araba/Álava	2	0.09	0.136	3	2203
Adurtza	Vitoria-Gasteiz	Araba/Álava	3	0.09	0.000	0	3399
Ibarrekolanda	Bilbao	Bizkaia	4	0.09	0.022	1	4546
Zaramaga	Vitoria-Gasteiz	Araba/Álava	5	0.09	0.053	3	5713
Sansomendi	Vitoria-Gasteiz	Araba/Álava	7	0.09	0.085	7	8209
Santa Lucia	Vitoria-Gasteiz	Araba/Álava	3	0.08	0.111	4	3599
Uretamendi	Bilbao	Bizkaia	1	0.08	0.000	0	1202
San Adrián	Bilbao	Bizkaia	2	0.08	0.082	2	2445
San Ignacio	Bilbao	Bizkaia	5	0.08	0.016	1	6205
El Pilar	Vitoria-Gasteiz	Araba/Álava	3	0.07	0.023	1	4387
Santiago	Vitoria-Gasteiz	Araba/Álava	1	0.06	0.063	1	1590
Aranbizkarra	Vitoria-Gasteiz	Araba/Álava	3	0.06	0.040	2	4979
San Martín	Vitoria-Gasteiz	Araba/Álava	3	0.06	0.060	3	4985
Masustegi-Monte Caramelo	Bilbao	Bizkaia	1	0.06	0.000	0	1814
Zabalgana	Vitoria-Gasteiz	Araba/Álava	6	0.05	0.035	4	11281
Bolueta	Bilbao	Bizkaia	1	0.05	0.000	0	1929
Arangoiti	Bilbao	Bizkaia	1	0.05	0.000	0	1932
Arriaga-Lakua	Vitoria-Gasteiz	Araba/Álava	5	0.04	0.035	4	11454
Zorrotza	Bilbao	Bizkaia	2	0.04	0	0	5028
Otxarkoaga	Bilbao	Bizkaia	1	0.02	0.0619195046439628	3	4845
Diseminado Uribarri	Bilbao	Bizkaia	6	0.00		1	
Diseminado Deustu	Bilbao	Bizkaia	4	0.00		0	
Diseminado Basurtu-Zorrotza	Bilbao	Bizkaia	4	0.00		1	
Elorrieta	Bilbao	Bizkaia	3	0.00		1	
Diseminado Errekalde	Bilbao	Bizkaia	1	0.00		1	
Diseminado Ibaiondo	Bilbao	Bizkaia	1	0.00		2	
Abetxuko	Vitoria-Gasteiz	Araba/Álava	0	0.00	0	0	1470
Arantzabela	Vitoria-Gasteiz	Araba/Álava	0	0.00	0	0	680
Aretxabaleta-Gardelegi	Vitoria-Gasteiz	Araba/Álava	0	0.00	0	0	426
Landarbaso	Donostia / San Sebastián	Gipuzkoa	0	0.00	0	0	8
Diseminado Otxarkoaga-Txurdinaga	Bilbao	Bizkaia	0	0.00		1	
